Date,Code,O,MO,AO,UL,LL,MUL,MLL,AUL,ALL,why_null,evidence
2008-05-07 00:00:00,22090,452.0,,452.0,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため前場データ欠損,J-Quants収録開始日(2008-05-07)。後場初値あり(O=AO=452)、全フラグ0、前場データ未収録と推定
2008-05-07 00:00:00,16190,15380.0,15380.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=15380)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,13170,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,95410,700.0,700.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=700)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,63250,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,49550,680.0,680.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=680)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,17370,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,16100,1965.0,,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため前場データ欠損,J-Quants収録開始日(2008-05-07)。後場初値あり(O=AO=1965)、全フラグ0、前場データ未収録と推定
2008-05-07 00:00:00,39550,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,16330,33100.0,33100.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=33100)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,69820,115.0,115.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=115)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,90630,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,59050,102.0,102.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=102)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,74280,213.0,213.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=213)、全フラグ0、後場データ未収録と推定
2008-05-07 00:00:00,96290,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,74420,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,63920,,,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため上場初日データ欠損,J-Quants収録開始日(2008-05-07)。全セッションNULL、全ストップフラグ0。データ未収録と推定
2008-05-07 00:00:00,86420,980.0,,980.0,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため前場データ欠損,J-Quants収録開始日(2008-05-07)。後場初値あり(O=AO=980)、全フラグ0、前場データ未収録と推定
2008-05-07 00:00:00,51940,297.0,297.0,,0.0,0.0,0.0,0.0,0.0,0.0,データ収録開始初日のため後場データ欠損,J-Quants収録開始日(2008-05-07)。前場初値あり(O=MO=297)、全フラグ0、後場データ未収録と推定
